Andhra Pradesh,"Government Hospital for Mental Care  Chinnawaltair, Vishakapatnam-500023  Andhra Pradesh"
Assam,"Lokopriya Gopinath Bordoloi Institute of Mental Health  P.O. Tezpur, Dist. Sonitpur Assam, Pin Code-5784001"
Bihar,"Institute of Mental Health,  Koelwar,  hojpur, BIHAR"
Goa,"Institute of Psychiatry & Human Behavior  Altinho, Panaji-403001,GOA."
Gujarat,"Hospital for Mental Health,  Bhuj-370001 Gujarat."
Gujarat,"Hospital for Mental Health  Vikasgruh Road, Indradeep Society, Jamnagar,  Gujarat  Pin Code:361008"
Gujarat,"Hospital for Mental Health,  Behind Kapadia High School, Outside Delhi Gate,  Shahibaug Road,  Ahamedabad-380004 Gujarat"
Gujarat,"Hospital for Mental Health  Karelibag,  Baroda,  Gujarat-390018"
Himachal Pradesh,"Himachal Hospital of Mental Health & Rehabilitation  Boileauganj, Shimla-171004 Himachal Pradesh"
Jammu & Kashmir,"Diseases  Rainawari, Khatidarwaze  Srinagar Jammu & Kashmir-190010"
Jammu & Kashmir,"Govt. Psychiatric Diseases Hospital, Krishna Nagar, Jammu, Jammu & Kashmir-180016"
Jharkhand,"Central Institute of Psychiatry, Kanke, P.O:Ranchi, Pin Code: 834006, Jharkhand"
Jharkhand,"Ranchi Institute of  Neuropsychiatry and Allied  Science(RINPAS), Kanke, Ranchi, Pin Code: 834006 Jharkhand"
Karnataka,"Karnataka Institute of Mental Health  Belgaum Road, Dharwad-580008 Kanataka"
Karnataka,"National Institute of Mental Health and Neuro Sciences  Nimhans, P.O. Box No 2900, Hosur Road, Bangalore-560029  Karnataka"
Kerala,"Mental Health Centre, Peroorkada Road,Oolampara, Thiruvanathapuram- 695005 Kerala"
Kerala,Govt. Mental Health Centre.  Kuthiravattom P.O. Kozhikode  Pin Code: 673016 Kerala
Kerala,"Govt. Mental Health Centre  Poothole P.O., Thrissur,  Pin Code: 680004 Kerala"
Madhya Pradesh,"Central jail Road, Gwalior, Pin Code: 4740012 Madhya Pradesh"
Madhya Pradesh,"Mental Hospital Banganga Sawer Road, Indore Pin Code: 452002 Madhya Pradesh"
Maharashtra,Regional Mental Hospital  Nagpur-440029  Maharashtra
Maharashtra,"Regional Mental Hospital Yeravda, Pune-411006 Maharashtra"
Maharashtra,"Regional Mental Hospital, Main Road, Ratnagiri- 415612 Maharashtra"
Maharashtra,"Regional Mental Hospital Wagle Estate, Thane (W)-400604 Maharashtra"
Meghalaya,"Meghalaya Institute of Mental Health & Neurosciences, Pasteur Hills, Shillong  Meghalaya -793001"
Nagaland,"Mental Hospital, Tekhuba, Kohima-797001 Nagaland"
NCT of Delhi,"Institute of Human Behavior & Allied Sciences G.T. Road, P.O Box 9520, Jhilmil, Dilshad Garden, Delhi-110095"
Odisha,"Mental Health Institute  S.C.B. Medical College,  Cuttack, Odisha -753007"
Punjab,"Dr. Vidyasagar Punjab Mental Hospital.  Circular Road, Amritsar,  Pin Code: 143001 Punjab"
Rajasthan,"Mental Hospital (Psychiatric Centre), Govind Marg, Janta Colony, Jaipur-302004  Rajasthan-302004"
Rajasthan,"Mental Hospital,  (Psychiatric Center),  Shastri Nagar,  Jodhpur-342001 Rajasthan"
State/UT,Mental Hospital
Tamil Nadu,"Institute of Mental Health  Medavakkam Tank Road  Kilpauk, Chennai-600010  Tamil Nadu"
Telangana,"Institute of Mental Health, Govt. Hospital for Mental Care, S.R. Nagar, Hyderbad-500038"
Tripura,"Modern  psychiatric Hospital Narsingarh, Singarbil,  Agartala, Tripura -799009"
Uttar Pradesh,"Institute of Mental Health & Hospital Billochpura,  Mathura Road, Agra-282002 Uttar Pradesh"
Uttar Pradesh,"Mental Hospital
S2/1 Pandeypur
Varanasi-221002
Uttar Pradesh"
Uttar Pradesh,"Mental Hospital Bareilly  Civil Lines, Bareilly-243005 Uttar Pradesh"
Uttarakhand,"State Mental Health Institute, NH-72, Selakui,   Uttarakhand-248011"
West Bengal,"Lumbini Park Mental Hospital  115, Dr.G.S Bose Road, Kata Pukur, Tiljala Kolkata-700039 West Bengal"
West Bengal,"Institute of Psychiatry  7, D.L. Khan Road,  Kolkata-700025  West Bengal."
West Bengal,"Institute for Mental Care,  Purulia, P.O: Purulia-723101  West Bengal"
West Bengal,"Calcutta Pavlov Hospital
18, Gobra Road,
Kolkata-700046
West Bengal"
West Bengal,"Berhampore Mental Hospital, K.N.
Road, Khagra, Berhampore P.O.,
Murshidabad-742101
West Bengal"
