Institutions,Installed Annual Capacity (Lakh Doses),Production (Lakh Doses),Demand(Lakh Doses),Supply (Lakh Doses),Achieved (%),Status as on,Vaccine
"BCG VL, Chennai",800,,,,,"As 
facility  upgraded 
to 
cGMP 
compliant 
formalities 
for 
commercial 
production 
in 
process.",BCG
"SII, Pune",2000,1836.18,,,,"March,2018",BCG
"CRI, Kasauli",400,,,,,"As 
facility  upgraded 
to 
cGMP 
compliant 
formalities 
for 
commercial 
production 
in 
process.",DPT 
PII Coonoor,400,,,,,"As 
facility  upgraded 
to 
cGMP 
compliant 
formalities 
for 
commercial 
production 
in 
process.",DPT 
"HBPCL, Mumbai",448,,,,,"March, 2018",DPT 
"SII, Pune",3000,249.24,,,,"March, 2018",DPT 
"HBI, Udhagamandalam, Hyderabad",600,185.3,,183.39,,"March, 2018",DPT 
Biological- E-Limited,700,200,80.8,80.8,100,"March,2018",DPT 
Bharat Biotecch Int. Ltd,10,,,,,"Information of vaccine production  
not provided by the Company",DPT 
PII Coonoor,400,,,,,"As 
facility  upgraded 
to 
cGMP 
compliant 
formalities 
for 
commercial 
production 
in 
process.",TT
"CRI, Kasauli",400,11.77,43.02,45.26,,"March,2018",TT
"HBPCL, Mumbai",712,,,,-,"March, 2018",TT
"SII, Pune",3000,707.46,,,,"March, 2018",TT
Bharat Biotecch Int. Ltd,,,,,,"Information of vaccine production  
not provided by the Company",TT
Sanofi Pasteur India,185,180,470,270,57.45,"March, 2018",TT
"SII, Pune",6000,4672.71,,,,"March,2018",OPV
Bio-Med (P) Ltd. Ghaziabad,7200,2280,2090,2090,100,"Sep, 2018",OPV
Panacea Bio-tech Ltd. Delhi,5000,825.53,734.53,734.53,100,"March, 2018",OPV
"Bharat Biotecch Int. Ltd International (L), Hyderabad",10000,,,,,"Information of vaccine production  
not provided by the Company",OPV
"SII, Pune",4000,1550.04,,,,"March,2018",Measles
"HBI, Udhagamandalam Hyderabad",300,,,,,"(Information 
of 
vaccine 
production  not  provided  by  the 
company)",Measles
"CRI, Kasauli",,1.34,1.57,1.57,100,"March,2018(*Imported vaccine)",YFV
Cadila Health Care Ltd.  Ahmedabad (vials),44,12.43,12.43,12.43,100,"March,2018",TCARV
"HBI, Udhagamandalam Hy'd",180,124.8,,117.96,0,"March, 2018",TCARV
"Chirion Behring Vaccine Lab. Ankleshwar, Guj",150,13.1,34.17,12.1,35.41,"March,2018",TCARV
"Bharat Bio tech, Hy'd",120,,,,,"Information of vaccine production 
not provided by the Company",TCARV
Bio-Med (P) Ltd Ghaziabad,140,19,15,15,100,"Sep,2018",Typhoid (Vi-Poly) 
Zydus Aventis Ahmedabad,43,4.04,4.04,4.04,100,"March,2018",Typhoid (Vi-Poly) 
Bharat Biotech Int. Ltd,250,,,,,"Information of vaccine production 
not provided by the Company",Typhoid (Vi-Poly) 
Bharat Biotecch Int. Ltd,800,,,,,"Information of vaccine production  
not provided by the Institute.",Typhoid (AKD)
"Bio-Med  Pvt. Ltd., Ghaziabad",140,19,15,15,100,"Sep,2018",Typhoid (AKD)
"SII, Pune",2700,749.06,,,,"March,2018",Hepatitis-B 
Biological-E-Ltd.,1000,110,24.15,24.15,100,"March, 2018",Hepatitis-B 
"HBI, Udhagamandalam",600,1.84,,4.2,,"March, 2018",Hepatitis-B 
Bharat  Biotech Int. Ltd,1010,,,,,"Information of vaccine production  
not provided by the Company",Hepatitis-B 
"Bio-Med  Pvt. Ltd., Ghaziabad",20,0.4,0.4,0.4,100,"Sep,2018",Haemophilis (Hib) Influenzae Vaccine 
Panacea,67.5,,0.17,0.17,100,"March,2018",Haemophilis (Hib) Influenzae Vaccine 
